sentiment,tokens
0,"['think', 'way', 'photo', 'shoot', 'rain', 'different']"
0,"['aww', 'rachel', 'leave', 'showa', 'time', 'jvp', 'time!&lt;3']"
0,"['learn', 'hate', 'school', 'leaving', 'examination', 'week']"
0,"['too.5', 'hour', 'pick', 'today', 'squarespace', 'iphone', 'gift', 'card', 'winner', 'wonder', 'pattern', 'hold']"
0,"['cold', 'tired', 'sleep', 'need', 'soon']"
0,"['guy', 'movie', 'night']"
0,"['csc', 'j---', 'mean']"
0,"['set', 'guiness', 'record', 'consecutive', 'sneeze', 'body', 'ache']"
0,"['actually', 'havenot', 'extreme', 'droll', 'haha', 'night', 'maybe', 'girl', 'miss', 'hope', 'okay', 'honey']"
0,"['layin', 'bed', 'awake', 'txtin', 'girl', 'vegas', 'wishin', 'didnot', 'work']"
0,"['okay', 'brother', 'hanging', 'player', 'lounge', 'mohegan', 'night', 'mad']"
0,"['hhave', 'hear', 'people', 'decriminalize', 'turn', 'tell', 'people', 'liar']"
0,"['buy', 'goggle', 'german', 'shepard', 'rare', 'eye', 'disease', 'blind', 'poor', 'fletcher']"
0,"['sooooo', 'cold', 'tired', 'donot', 'want', 'bed']"
0,"['wish', 'summertime', 'ball', 'right']"
0,['work']
0,"['kind', 'boring', 'follower', 'donot', 'worrie', 'qet', 'suree', 'anyways', 'hungryy']"
0,"['feel', 'ashamed', 'drink', 'soda', 'today']"
0,"['people', 'pretty', 'time', 'believe', 'kiss', 'zenjar']"
0,"['leave', 'water', 'island', 'today']"
0,"['hey', 'tom', 'having', 'bad', 'day', 'right', 'person', 'awesome', 'feel', 'seriously']"
0,"['sh*t-', 'instant', 'message', 'sorry', 'hope', 'hiding', 'yard']"
0,"['wonder', 'domino', 'pizza', 'perlis']"
0,"['donot', 'want', 'work', 'major', 'writing', 'session', 'tonight', 'guitar', 'think', 'wait', 'tour', 'week', 'sweeeeet']"
0,"['uncle', 'actually', 'chastise', 'year', 'old', 'friend', 'language', 'page', 'family', 'kill']"
0,"['celebratory', 'firing', 'scare', 'cat', 'inhuman', 'man']"
0,"['cry', 'wish', 'strong']"
0,"['try', 'navigate', 'modern', 'techonology', 'realise', 'tech', 'bimbotic', 'boohoo']"
0,"['concert', 'canada', 'state']"
0,"['study', 'chemistry', 'feckin', 'hell']"
0,"['hand', 'smell', 'like', 'dishwashing']"
0,['ground']
0,"['pretty', 'sad', 'little', 'seagate', 'drive', 'find', 'iphoto', 'library', 'lets']"
0,"['nooo', 'sorry', 'eye', 'drop', 'cold', 'water', 'compress', 'ease', 'swelling']"
0,"['okay', 'darn', 'sorry', 'hear']"
0,"['math', 'day', 'week', 'summer']"
0,"['boring', 'meeting', 'monday', 'bummer']"
0,"['ughhh', 'hot', 'donot', 'air', 'conditioning']"
0,"['know', 'love', 'miss', 'music']"
0,"['ahhhh', 'home', 'wish', 'missing', 'little', '.....']"
0,"['miss', 'school']"
0,"['deadlock', 'itch']"
0,"['pay', 'late', 'night', 'early', 'morning', 'online', 'surfing', '.....', 'early', 'morning', 'wake', 'time', 'suck']"
0,"['man', 'unexpected', 'got', 'unplanned', 'presentation', 'job', 'f**k', 'job']"
0,"['air', 'france', 'plane', 'missing']"
0,"['long', 'day', 'year', 'grey', 'overcast', 'birmingham']"
0,"['girl', 'staring', 'straight', 'reflection', 'donot', 'know']"
0,"['alumnus', 'donot', 'know', 'didnot', 'mac']"
0,"['look', 'decidedly', 'swamp', 'monster', 'esque', 'result']"
0,"['believe', 'earl', 'cancel']"
0,"['shower', 'ready', 'work', 'nice', 'day', 'wee', 'man']"
0,"['darn', 'thing', 'working']"
0,"['want', 'outside', 'swimming', 'pool', 'finally', 'open', 'unfortunately', 'degree', 'right', 'hoping', 'warm']"
0,"['w1fmr', 'status', 'use', 'firefox', 'hamr']"
0,"['camera', 'finally', 'break', 'ugh', 'thing', 'need', 'break']"
0,"['head', 'ache', 'unfortunately', 'couldnot', 'sleep', 'pbbft']"
0,"['bad', 'news', 'grandmother', 'pa**e', 'away', 'minha', 'avózinha', 'morreu', 'saudades']"
0,"['think', 'alcohol', 'actually', 'devil', 'binge', 'drinking', 'unattractive']"
0,['link']
0,"['add', 'doc', 'laugh', 'loud', 'speak', 'past', 'experience', 'fun', 'feeling']"
0,"['lunch', 'rosie', 'find', 'future', 'plan']"
0,"['right', 'eye', 'hurt']"
0,"['pack', 'leave', 'new', 'york', 'city', 'dirty', 'jersey', 'test', 'drive', 'new', 'fiesta', 'fiestamovement', 'amazing']"
0,[]
0,"['love', 'big', 'day', 'amp', 'night', 'thank', 'ask']"
0,"['sound', 'good', 'honey', 'right', 'helping', 'way', 'tonight', 'stay', 'agen', 'sorri']"
0,"['kepler', 'having', 'surgery', 'wound', 'bad', 'reach', 'amp', 'touch', 'spine', 'drainage', 'tube', 'instal']"
0,"['waaaaaant', 'vacation']"
0,"['gen', 'wait', 'december']"
0,"['f**king', 'hate', 'life']"
0,"['feel', 'bad', 'tugasku', 'reunion', 'guess', 'seperate', 'reunion']"
0,['yeah']
0,"['necklace', 'break', 'sad']"
0,"['sister', 'great', 'wedding', 'today', 'trying', 'catch', 'email', 'uhh', 'woo', 'hoo', 'count']"
0,"['didnot', 'watch', 'instead', 'eat', 'chinese', 'restaurant', 'hehe']"
0,"['blah', 'hour', 'shift']"
0,"['fix', 'ranch', 'funeral', 'later', 'today']"
0,"['hurt', 'cheer', 'practice', 'think', 'tell', 'coach', 'right', 'start', 'hurt', 'late', 'leave', 'camp', 'monday']"
0,['twinny']
0,"['need', 'play', 'hot']"
0,"['want', 'cav', 'darn']"
0,"['feel', 'blah', 'today', 'altho', 'new', 'neighbour', 'leave', 'lovely', 'bottle', 'white', 'stair', 'tempt', 'read', 'card']"
0,"['try', 'bleu', 'cheese', 'time', 'long', 'time', 'sure', 'tummy', 'accept']"
0,"['aww', 'sorry', 'hear', 'hugs']"
0,"['case', 'swine', 'flu', 'report', 'bulgaria', 'today']"
0,"['hear', 'justin', 'timberlake', 'saturday', 'night', 'live', 'tonight', 'missing', 'good', 'television', 'cause', 'turn', 'anymore', 'cutie']"
0,"['happy', 'wait', 'green', 'day', 'october', 'mosh', 'pit']"
0,"['weird', 'question', 'know', 'want', 'kitten', 'cause', 'hard', 'time', 'selling', 'help']"
0,"['ughhh', 'want']"
0,"['good', 'afternoon', 'live', 'spend', 'sad', 'cause']"
0,"['couldnot', 'justify', 'cost', 'time', 'bit', 'miffed', 'new', 'album', 'collection']"
0,"['lose', 'translation', 'garbage', 'disposal', 'useful', 'invention', 'knife']"
0,"['doesnot', 'reply', 'twitter', 'anymore', 'sad']"
0,"['wow', 'long', 'day', 'baby', 'girl', 'wait', 'bath', 'split', 'love']"
0,"['sickkkk', 'f**k', 'life', 'woodward', 'extreme', 'droll']"
0,"['yeah', 'angle', 'air', 'row', 'look', 'bad', 'fail']"
0,"['thank', 'sound', 'like', 'good', 'idea', 'smelly', 'smell', 'gym', 'soooon']"
0,"['london', 'safe', 'place', 'live', 'especially', 'like', 'walk', 'city', 'especially', 'young', 'ready2fight']"
0,"['school', 'work', 'killing', 'time', 'sleep', 'homework']"
0,"['check', 'bed', 'spider', 'new', 'phobia']"
0,"['god', 'like', 'forever', 'miss', 'twitter']"
0,"['work', 'tired', 'sleep', 'bit', 'night']"
0,"['fun', 'dave', 'work']"
0,"['falcor', 'shoo', 'shoo', 'rug']"
0,"['awwww', 'think', 'upset', 'daniel']"
0,"['wake', 'instant', 'message', 'tired', 'sleep', 'wrong']"
0,"['comcast', 'guess', 'outage', 'minneapolis', 'let', 'hope', 'soon']"
0,"['ugh', 'seriously']"
0,"['ohmygod', 'officially', 'join', 'twilight', 'craze', 'eff']"
0,"['love', 'lovely', 'man', 'work', 'stop', 'pancras', 'finally', 'cut', 'transport', 'relate', 'break', 'death', 'travel']"
0,"['instant', 'message', 'waiting', 'horrible', 'storm', 'end', 'yikes']"
0,"['wake', 'wishing', 'yesterday', 'bad', 'dream', 'fuuck']"
0,"['want', 'new', 'phone']"
0,"['wow', 'people', 'mean', 'post', 'come', 'tennessee', 'rainy']"
0,"['job', 'bit', 'broken', 'waiting', 'hear', 'winnepeggian', 'heelllp']"
0,"['going', 'happy', 'new', 'ecw', 'champion']"
0,"['ugh.my', 'phone', 'broken.*tear*i', 'drop', 'accident.i', 'think', 'okay', 'drop', 'guess', 'wrong']"
0,"['tree', 'hillll', 'episode', 'soooo', 'sad']"
0,"['direct', 'message', 'exciting', 'extreme', 'droll']"
0,['museum']
0,"['think', 'college']"
0,"['mail', 'wow', 'course', 'day', 'expect', 'come', 'thursday', 'find', 'similar', 'sucks']"
0,"['storm', 'honey', 'send', 'yeah', 'instant', 'message', 'ipod', 'send']"
0,"['denver', 'remember', 'actual', 'score']"
0,"['look', 'cute', 'bed', 'laugh', 'loud', 'miss']"
0,"['super', 'tired', 'long', 'day', 'today', 'miss', 'baby', 'fight', 'today']"
0,"['actually', 'like', 'bing', 'bad', 'homepage', 'layout', 'ugly']"
0,['stooopid']
0,"['come', 'rain']"
0,"['ready', 'owl', 'city', 'ground']"
0,['homeworkkkkkk']
0,"['bloody', 'sea', 'king', 'helicopter', 'house', 'chance', 'lie', 'work', 'early']"
0,"['join', 'club', 'try', 'kidney', 'stone', '....', 'painful=', 'sleep', 'cry']"
0,"['hmmm', 'hsbc', 'business', 'banking', 'site']"
0,"['watchin', 'willy', 'wonka', 'chocolate', 'factory', 'wish', 'love']"
0,"['incoming.com', 'guide', 'business', 'valuation', 'complete', 'absence', 'software', 'tech']"
0,"['cut', 'hair', 'short', 'long', 'year']"
0,"['donot', 'know', 'happen', 'hell']"
0,"['maybe', 'hang', 'mike', 'awhile', 'sh*t', 'donot', 'know', 'know', 'feel', 'god', 'need']"
0,"['hahaha', 'awesome', 'think', 'know', 'need', 'trainer', 'kangaroo', 'pouch']"
0,"['happy', 'sunday', 'favorite', 'day', 'week', 'laundry', 'grocery', 'shop']"
0,"['lakers', 'fan']"
0,"['ugh', 'cereal', 'house']"
0,"['poor', 'donot', 'think']"
0,['stress']
0,"['hate', 'typo']"
0,"['near', 'gallon', 'pit', 'summer', 'probably', 'ooooff', 'xterra']"
0,"['tooootally', 'wish', 'tonight']"
0,"['piss', 'search', 'theatre', 'sell', 'doesnot', 'look', 'like', 'opening', 'night']"
0,"['maybe', 'worth', 'time', 'sorry', 'hear']"
0,"['download', 'thank', 'help', 'twit', 'homepage', 'organized', 'thank']"
0,"['guess', 'permanently', 'hungry', 'sound', 'bit', 'rubbish', 'burger', 'laughing', 'loud', 'quick', 'weather', 'today']"
0,"['hole', 'sorry', 'hear', 'trip', 'cancel']"
0,"['yeah', 'avoid', 'pile', 'bill', 'file']"
0,"['miss', 'boyfriend', 'like', 'crazy']"
0,"['instant', 'message', 'sad', 'school', 'trust']"
0,"['work', 'knock', 'seven', 'page', 'paper']"
0,"['feel', 'unwell', 'cold', 'going', 'search']"
0,"['absolutely', 'gorgeous', 'outside', 'stuck', 'house', 'migraine']"
0,"['dissapointed', 'soon', 'live', 'performance']"
0,"['laziness', 'disorder', 'easily', 'bored', 'day', 'focus', 'study', 'god', 'help']"
0,"['early', 'work', 'didnot', 'sleep']"
0,"['meu', 'twitter', 'sem', 'foto', '....']"
0,"['laugh', 'loud', 'like', 'hooray', 'like', 'clinically', 'diagnose', 'medicine']"
0,"['knooooo', 'wish', 'light']"
0,"['awww', 'spoiler', 'big', 'surprise', 'network', 'spike', 'likely', 'let', 'terrorist', 'win']"
0,"['sleeping', 'day', 'fever', 'bad', 'headache']"
0,"['wasting', 'time', 'trying', 'install', 'wiki', 'refuse', 'interesting', 'idea', 'maybe', 'day']"
0,"['play', 'horribly', 'upset']"
0,"['bed', 'wonder', 'home']"
0,"['tennessee', 'corgi', 'german', 'shepherd', 'mix', 'morning']"
0,"['probably', 'tweeting', 'summer']"
0,"['sorry', 'miss', 'okay', 'hug', 'yes', 'online', 'come']"
0,"['laugh', 'f**king', 'deeeeto', 'instant', 'message', 'meannn', 'quot;donot', 'feel', 'bad', 'okay', 'bored', 'too&quot']"
0,[]
0,"['close', 'want', 'headphone']"
0,"['work', 'sun', 'shine']"
0,"['train', 'heading', 'beach', 'mean', 'work']"
0,"['christian', 'racist', 'bnp', 'seat', 'shame', 'atheist', 'eu09', 'bnp']"
0,"['god', 'way']"
0,"['magnificentillegitimate', 'child.com', 'legitimate', 'website']"
0,"['donot', 'think', 'seat', 'leave', 'tell', 'want', 'hook']"
0,"['haha', 'havenot', 'dunkin', 'donut', 'leave', 'east', 'coast', 'shipley', 'guess', 'need', 'donut', 'today', 'kid']"
0,"['investor', 'want', 'buy', 'house', 'vegas', 'urge', 'quot;stuck&quot']"
0,"['leave', 'hotel', 'gate']"
0,"['lot', 'hack', 'garena', 'server', 'game', 'fun']"
0,"['reek', 'alcohol', 'dentist', 'morning', 'drunk', 'tshirt', 'realise', 'huge', 'stain', 'dentist', 'look', 'disgusted']"
0,"['ready', 'bed', 'tennis', 'line', 'workout', 'way', 'thing', 'happy', 'hour', 'work']"
0,"['sad', 'mcmahon', 'farrah', 'fawcett', 'week']"
0,"['umm', 'sign', 'door', 'indicating', 'alarmed', 'wdehd']"
0,"['bed', 'hour', 'sleep', 'tired']"
0,"['want', 'attend', 'shirt', 'cruel']"
0,"['aww', 'happen']"
0,"['yeah', 'know', 'pain', 'today']"
0,"['amp', 'bad', 'news', 'booster', 'gold', 'fan', 'quot;i', 'got', 'dub&quot', 'tonight', ""we're"", 'quot;so', 'pacific&quot;', 'outta', 'control', 'sorry', 'background']"
0,"['lovely', 'summerday', ""+25'c"", 'life', 'bad', 'today', 'wish', 'cold', 'away', 'shoooo']"
0,"['plurk', 'plurk', 'guess', 'plurk']"
0,"['weird', 'mood', 'night', 'hate', 'odd']"
0,['wish']
0,"['quot;squirrelly', 'bread&quot', 'bummer']"
0,"['try', 'stick', 'outside', 'stage', 'door', 'autograph', 'tell', 'leave', 'door']"
0,['tired']
0,"['ithink', 'scare', 'unofficial', 'boyfriend', 'away', 'laugh', 'loud', 'sike']"
0,"['laugh', 'loud', 'f**k', 'ask', 'jonathan', 'play', 'basketball', 'didnot', 'know', 'guess', 'stay', 'home', 'homework']"
0,"['today', 'great', 'day']"
0,"['year', 'contract', 'iphone', 'wish', 'didnot', 'bully', 'ridiculously', 'long', 'contract']"
0,"['bad', 'week', 'school', 'forever', 'donot', 'year', 'like']"
0,"['shame', '................']"
0,"['nice', 'dinner', 'kayleigh', 'cameron', 'miss', 'marvin', 'dearly']"
0,"['donot', 'home', 'phone', 'hula', 'bula', 'soonish', 'frantically', 'trying', 'ready']"
0,"['hey', 'laughing', 'loud', 'beleive', 'join', 'follower', 'loser', 'hahah']"
0,"['stressed', 'early', 'breaking', 'dawn', 'gosh', 'gna', 'anothe', 'chapter', 'okay', 'think', 'missing', 'ikeeyy', 'nighty']"
0,"['church', 'electric', 'fan', 'buffet', 'square', 'work']"
0,"['grrrrrrrrrr', 'right', 'think', 'venting']"
0,"['face', 'miss', 'hair']"
0,"['finish', 'day', 'job', 'leg', 'hurt']"
0,"['need', 'ready', 'doctor', 'poorly']"
0,"['whaaaaat', 'season', 'hannah', 'montana']"
0,['mean']
0,"['darn', 'rain', 'new', 'york', 'city', 'god', 'wrong']"
0,"['sooooo', 'tired', 'soup']"
0,"['matter', 'chem', 'regent', 'feel', 'prepared', 'ughh', 'school', 'suckss', 'dayss', 'takin', 'forever']"
0,"['man', 'lunch', 'oh.o', 'con', 'happen', 'non', 'australia', 'day', 'good', 'haha']"
0,"['work', 'night', 'actually', 'pissed', 'want', 'work', 'code', 'new', 'web', 'log', 'design']"
0,"['brother', 'going', 'vegas', 'annnd', 'want', 'goo']"
0,"['crap', 'find', 'legging']"
0,"['thing', 'lot', 'easy', 'didnot', 'good', 'boyfriend', 'world']"
0,"['work', 'drunken', 'behaviour', 'drinking', 'buddy']"
0,"['doubt', 'speak', 'invite', 'leave', 'come']"
0,"['uugghhhh', 'economics', 'wish']"
0,"['add', 'level', 'polish', 'walk', 'cycle', 'finish', 'soon', 'hopefully', 'render', 'time', 'going', 'kill']"
0,"['cause', 'miss', 'sniff']"
0,"['start', 'worry', 'alex', 'contact', 'wednesday', 'time', 'maybe', 'methhead', 'prop', 'manager', 'kill']"
0,"['thank', 'invite', 'guy', '....', 'feel', 'left', 'right', 'guess', 'ill', 'hang', 'female', 'dog', 'music', 'instead']"
0,"['ready', 'work', 'look', 'forward']"
0,"['twilight', 'zone', 'rip', 'june']"
0,"['tired', 'boo', 'hating', 'cold', 'rain', 'good', 'day', 'spend', 'bed']"
0,"['random', 'thought', 'listen', 'sit', 'lobby', 'bahama']"
0,"['miss', 'sad', 'tell', 'time', 'nashville', 'plan', 'trip']"
0,"['bed', 'miss', 'husband']"
0,"['suck', 'bakersfield', 'wait', 'week', 'new', 'iphone']"
0,"['chem', 'cla**', 'gonna', 'screw']"
0,"['dang', 'close', 'far', 'tweet']"
0,"['need', 'office', 'melt']"
0,"['know', 'honest', 'tit', 'adam', 'amp', 'danny', 'sad', 'week']"
0,"['drunk', 'depressed', 'kevie', 'miss', 'baby', 'wonder', 'alive', 'like', 'think', 'mommy', 'love']"
0,"['isaiah', 'high', 'temp']"
0,"['bilang', 'sampe', 'rumah', 'amp', 'teler', 'traffic', 'macet', 'bonus', 'mdadak', 'mati']"
0,"['computer', 'security', 'cliph', 'isec.pl', 'die', 'are.i.p', 'mate']"
0,"['forget', 'cricket', 'today', '....', 'going', 'save', 'watermelon', 'rind', 'sad', 'amp', 'pony', 'greet']"
0,"['love', 'doodle', 'suck', 'finished', 'include', 'commission']"
0,"['god', 'crazy', 'bad', 'meet', 'instant', 'message', 'going', 'csu', 'san', 'bernardino', 'miss', 'amp', 'love']"
0,"['nooooooooo', 'monday']"
0,"['gain', 'real', 'urge', 'play', 'fable', 'jess', 'moment', 'guess', 'carryon', 'mission', 'impossible']"
0,"['jake', 'shoebox']"
0,"['rove', 'marry', 'ment', 'marry', 'lt;/3', 'tasma', 'suck']"
0,"['return', 'harp', 'month', 'ago', 'cause', 'know', 'leaving', 'downstairs', 'play', 'morning', 'remember']"
0,"['bed', 'care', 'nurse', 'cat', 'wonderful', 'watching', 'sunshine', 'outside', 'wistfully']"
0,"['potential', 'officially', 'leave', 'summer', 'laughing', 'loud', 'god', 'guess', 'soon']"
0,"['look', 'like', 'headcount', 'come', 'single', 'digit']"
0,"['forget', 'bright', 'blue', 'eye', 'forget', 'moment', 'meet']"
0,"['wow', 'haha', 'soooo', 'predictable', '.....', 'haaaaaah', 'wish', 'watch']"
0,['work']
0,"['drug', 'bad', 'miss', 'anyways', 'talking', 'icebreaker', 'xbox', 'live', 'need', 'new', 'microphone', 'quick']"
0,"['java', 'jazz', 'getting', 'f**ke', 'carnifex', 'amp', 'impending', 'doom', 'miss', '-_-']"
0,"['hate', 'feeling', 'like', '........']"
0,"['loong', 'time', 'quot;homes', 'r&amp;r&quot', 'turn', 'country', 'channel', 'craprock', 'channel', 'worth']"
0,"['thank', 'lunch', 'instant', 'message', '~marie~']"
0,"['instant', 'message', 'dissapointed', 'sims', 'online', 'interactive', 'miss', 'oppurtunity', 'maybe', 'expansion', 'sigh']"
0,"['sad', 'thinking', 'going', 'swoon']"
0,"['scary', 'shaking.told', 'rent', 'away4', 'birthday', 'mum', 'randomly', 'ask', 'sexuality', 'ask', 'gay', 'need', 'hug']"
0,"['right', 'donot', 'iphone', 'july', 'smog', 'register', 'jeep']"
0,"['love', 'iphone', 'afford', 'right']"
0,"['think', 'drunk', 'tweet', 'june', 'feel', 'weird', 'feel', 'like', 'hole', 'stomach', 'want', 'throw']"
0,"['seriously', 'wait']"
0,"['cold', 'lose', 'wallet']"
0,"['ill', 'today']"
0,"['miss', 'loosewomen', 'weekendd', 'haha', 'sad', 'come', 'home', 'dinner', 'watch', 'laugh', 'loud']"
0,"['busy', 'today', 'tell', 'actually', 'accomplish']"
0,"['man', 'suck', 'tooth', 'miss']"
0,"['chris', 'brown', 'usher', 'album', 'suck']"
0,"['sorry', 'warped']"
0,"['mess', 'today', 'drum', 'check', 'tomarrow', 'wish', 'luck']"
0,"['everytime', 'fall', 'asleep', 'wet', 'hair', 'like', 'mufasa', 'resurrect', 'wake']"
0,"['let', 'sick', 'wake', 'inconvenient']"
0,"['mike', 'zannel', 'fail']"
0,"['darn', 'safe', 'flight', 'yeah', 'crib', 'sat']"
0,"['oooooh', 'taking', 'gap', 'year', 'sooo', 'australia', 'new', 'zealand', 'shattered', 'sick', 'mark', 'coursework']"
0,"['sooryy', 'family', 'hard', 'loose', 'love']"
0,"['laugh', 'maybe', 'ill', 'come', 'true', 'minus', 'olp']"
0,"['think', 'hotel', 'cafe', 'greg', 'laswell', 'wish', 'sam', 'tonight']"
0,"['update', 'iphone', 'use', 'plurk']"
0,"['good', 'hope']"
0,"['good', 'knight', 'knight', 'got', 'early', 'happy']"
0,"['owwcchhh', 'hurt', 'burn']"
0,"['miss', 'friend', 'school', 'year', 'going', 'hard', 'loveyou']"
0,"['maths', 'shoot']"
0,"['like', 'cable', 'company', 'doesnot', 'possible', 'moment', 'like', 'nap', 'school']"
0,"['heck', 'rain', 'chicago', 'downtown', 'like', 'hurricane', 'suck', 'flight']"
0,"['knight', 'amp', 'wolf', 'bad', 'luck', 'charlton']"
0,"['squash', 'bug', 'thingy', 'desk', 'pencil', 'pencil', 'stink', 'f**k', 'life']"
0,"['find', 'david']"
0,"['dig', 'car', 'going', 'drive', 'test', 'drive']"
0,"['laugh', 'loud', 'trialing', 'florida', 'trial', 'come', 'screeching', 'halt', 'summer', 'fun', 'weekend']"
0,"['grr', 'text', 'message', 'read', 'like', 'clock', 'instant', 'message', 'annoying']"
0,"['bad', 'mood', 'cheer']"
0,"['use', 'fake', 'account', 'want', 'buy']"
0,['day']
0,"['sorry', 'feel', 'miss', 'davanni', 'gingered', 'beef']"
0,"['ugh', 'stop', 'bite', 'nail', 'grrrrr']"
0,['headache']
0,"['anxious', 'school', 'miss', 'friend']"
0,"['macam', 'takde', 'mood']"
0,"['miss', 'boyfriend', 'hug']"
0,"['want', 'baddd']"
0,"['bet', 'didnot', 'people', 'ignore', 'instinct', 'come', 'circ']"
0,"['shift', 'night', 'zane', 'dani', 'keeping', 'company', 'instant', 'message', 'start', 'sleepy']"
0,"['killle', 'mee']"
0,"['suck', 'want', 'p.s']"
0,"['ecl', 'day', 'try', 'cram', 'organic', 'chemistry', 'head', 'final', 'ugh']"
0,"['twitter', 'suck', 'let', 'upload', 'new', 'picture']"
0,"['agree', 'lot', 'brain', 'damage', 'stay', 'calm', 'think', 'yes', 'nation', 'deserve', 'lot']"
0,"['bored', 'sh*t', 'hungry', 'hell']"
0,"['robert', 'mad']"
0,"['plan', 'world', 'domination', 'gate', 'style', 'want', 'gue', 'banofee', 'dessert', 'bit', 'cash']"
0,['cold']
0,"['nice', 'breakfast', 'law', 'time', 'cleaning', 'laundry', 'etc']"
0,"['sleep', 'mood', 'today', 'sleep', 'time', 'kill']"
0,"['leg', 'lead', 'learn', 'warm']"
0,"['new', 'imac', 'getting', 'new', 'dvd', 'drive', 'live', 'apple', 'store', 'couple', 'day']"
0,"['finger', 'bleed', 'morning']"
0,"['cho', 'mình', 'link', 'cái', 'quot;facebook', 'purify&quot', 'được', 'không', 'search', 'trên', 'userscript', 'không', 'thấy']"
0,"['wiff', 'pazik', 'fart']"
0,"['good', 'crack', 'school', 'work', 'try', 'avoid', 'long']"
0,"['caller', 'people', 'britneytickets102.5']"
0,"['great', 'eye', 'wide', 'open', 'stop', 'brain', 'need', 'sleep']"
0,"['bad', 'normal', 'monday', 'horrible', 'family', 'attempt', 'suicide', 'sad']"
0,"['register', 'twitter', 'typing', 'entry', 'job', 'hunt', 'internet']"
0,"['believe', 'david', 'carradine', 'pa**e', 'away.now', 'sad']"
0,"['donot', 'start', 'whinge', 'work', 'half', 'hour']"
0,"['people', 'glasgow', 'standing', 'seat', 'night']"
